Date,Symbol,Order,Shares
2008-01-31,ML4T-399,SELL,100
2008-02-05,ML4T-399,BUY,100
2008-02-06,ML4T-399,BUY,100
2008-02-15,ML4T-399,SELL,100
2008-02-19,ML4T-399,SELL,100
2008-02-27,ML4T-399,BUY,100
2008-02-28,ML4T-399,BUY,100
2008-03-10,ML4T-399,SELL,100
2008-03-11,ML4T-399,SELL,100
2008-03-19,ML4T-399,BUY,100
2008-03-20,ML4T-399,BUY,100
2008-04-01,ML4T-399,SELL,100
2008-04-02,ML4T-399,SELL,100
2008-04-10,ML4T-399,BUY,100
2008-04-11,ML4T-399,BUY,100
2008-04-22,ML4T-399,SELL,100
2008-04-23,ML4T-399,SELL,100
2008-05-02,ML4T-399,BUY,100
2008-05-05,ML4T-399,BUY,100
2008-05-13,ML4T-399,SELL,100
2008-05-14,ML4T-399,SELL,100
2008-05-23,ML4T-399,BUY,100
2008-05-27,ML4T-399,BUY,100
2008-06-04,ML4T-399,SELL,100
2008-06-05,ML4T-399,SELL,100
2008-06-16,ML4T-399,BUY,100
2008-06-17,ML4T-399,BUY,100
2008-06-25,ML4T-399,SELL,100
2008-06-26,ML4T-399,SELL,100
2008-07-08,ML4T-399,BUY,100
2008-07-09,ML4T-399,BUY,100
2008-07-18,ML4T-399,SELL,100
2008-07-21,ML4T-399,SELL,100
2008-07-29,ML4T-399,BUY,100
2008-07-30,ML4T-399,BUY,100
2008-08-08,ML4T-399,SELL,100
2008-08-11,ML4T-399,SELL,100
2008-08-19,ML4T-399,BUY,100
2008-08-20,ML4T-399,BUY,100
2008-08-29,ML4T-399,SELL,100
2008-09-02,ML4T-399,SELL,100
2008-09-10,ML4T-399,BUY,100
2008-09-11,ML4T-399,BUY,100
2008-09-22,ML4T-399,SELL,100
2008-09-23,ML4T-399,SELL,100
2008-10-01,ML4T-399,BUY,100
2008-10-02,ML4T-399,BUY,100
2008-10-13,ML4T-399,SELL,100
2008-10-14,ML4T-399,SELL,100
2008-10-23,ML4T-399,BUY,100
2008-10-24,ML4T-399,BUY,100
2008-11-03,ML4T-399,SELL,100
2008-11-04,ML4T-399,SELL,100
2008-11-13,ML4T-399,BUY,100
2008-11-14,ML4T-399,BUY,100
2008-11-24,ML4T-399,SELL,100
2008-11-25,ML4T-399,SELL,100
2008-12-05,ML4T-399,BUY,100
2008-12-08,ML4T-399,BUY,100
2008-12-16,ML4T-399,SELL,100
2008-12-17,ML4T-399,SELL,100
2008-12-29,ML4T-399,BUY,100
2008-12-30,ML4T-399,BUY,100
2009-01-09,ML4T-399,SELL,100
2009-01-12,ML4T-399,SELL,100
2009-01-21,ML4T-399,BUY,100
2009-01-22,ML4T-399,BUY,100
2009-02-02,ML4T-399,SELL,100
2009-02-03,ML4T-399,SELL,100
2009-02-11,ML4T-399,BUY,100
2009-02-12,ML4T-399,BUY,100
2009-02-24,ML4T-399,SELL,100
2009-02-25,ML4T-399,SELL,100
2009-03-05,ML4T-399,BUY,100
2009-03-06,ML4T-399,BUY,100
2009-03-17,ML4T-399,SELL,100
2009-03-18,ML4T-399,SELL,100
2009-03-26,ML4T-399,BUY,100
2009-03-27,ML4T-399,BUY,100
2009-04-07,ML4T-399,SELL,100
2009-04-08,ML4T-399,SELL,100
2009-04-20,ML4T-399,BUY,100
2009-04-21,ML4T-399,BUY,100
2009-04-29,ML4T-399,SELL,100
2009-04-30,ML4T-399,SELL,100
2009-05-11,ML4T-399,BUY,100
2009-05-12,ML4T-399,BUY,100
2009-05-20,ML4T-399,SELL,100
2009-05-21,ML4T-399,SELL,100
2009-06-02,ML4T-399,BUY,100
2009-06-03,ML4T-399,BUY,100
2009-06-11,ML4T-399,SELL,100
2009-06-12,ML4T-399,SELL,100
2009-06-23,ML4T-399,BUY,100
2009-06-24,ML4T-399,BUY,100
2009-07-06,ML4T-399,SELL,100
2009-07-07,ML4T-399,SELL,100
2009-07-15,ML4T-399,BUY,100
2009-07-16,ML4T-399,BUY,100
2009-07-27,ML4T-399,SELL,100
2009-07-28,ML4T-399,SELL,100
2009-08-05,ML4T-399,BUY,100
2009-08-06,ML4T-399,BUY,100
2009-08-17,ML4T-399,SELL,100
2009-08-18,ML4T-399,SELL,100
2009-08-26,ML4T-399,BUY,100
2009-08-27,ML4T-399,BUY,100
2009-09-08,ML4T-399,SELL,100
2009-09-09,ML4T-399,SELL,100
2009-09-17,ML4T-399,BUY,100
2009-09-18,ML4T-399,BUY,100
2009-09-29,ML4T-399,SELL,100
2009-09-30,ML4T-399,SELL,100
2009-10-09,ML4T-399,BUY,100
2009-10-12,ML4T-399,BUY,100
2009-10-20,ML4T-399,SELL,100
2009-10-21,ML4T-399,SELL,100
2009-10-30,ML4T-399,BUY,100
2009-11-02,ML4T-399,BUY,100
2009-11-10,ML4T-399,SELL,100
2009-11-11,ML4T-399,SELL,100
2009-11-20,ML4T-399,BUY,100
2009-11-23,ML4T-399,BUY,100
2009-12-02,ML4T-399,SELL,100
2009-12-03,ML4T-399,SELL,100
2009-12-14,ML4T-399,BUY,100
2009-12-15,ML4T-399,BUY,100
2009-12-24,ML4T-399,SELL,100
2009-12-28,ML4T-399,SELL,100
