Date,Symbol,Order,Shares
2008-01-31,IBM,BUY,100
2008-02-04,IBM,SELL,100
2008-02-05,IBM,BUY,100
2008-02-11,IBM,SELL,100
2008-02-12,IBM,SELL,100
2008-02-13,IBM,BUY,100
2008-02-14,IBM,SELL,100
2008-02-15,IBM,BUY,100
2008-02-19,IBM,BUY,100
2008-02-28,IBM,SELL,100
2008-02-29,IBM,SELL,100
2008-03-03,IBM,BUY,100
2008-03-04,IBM,BUY,100
2008-03-05,IBM,SELL,100
2008-03-06,IBM,BUY,100
2008-03-19,IBM,SELL,100
2008-03-20,IBM,BUY,100
2008-03-24,IBM,SELL,100
2008-03-25,IBM,SELL,100
2008-03-26,IBM,BUY,100
2008-03-27,IBM,SELL,100
2008-03-28,IBM,BUY,100
2008-03-31,IBM,BUY,100
2008-04-17,IBM,SELL,100
2008-04-18,IBM,SELL,100
2008-04-23,IBM,BUY,100
2008-04-24,IBM,SELL,100
2008-04-28,IBM,BUY,100
2008-04-29,IBM,BUY,100
2008-05-02,IBM,SELL,100
2008-05-05,IBM,SELL,100
2008-05-06,IBM,BUY,100
2008-05-07,IBM,BUY,100
2008-05-13,IBM,SELL,100
2008-05-14,IBM,SELL,100
2008-05-21,IBM,BUY,100
2008-05-22,IBM,BUY,100
2008-05-29,IBM,SELL,100
2008-05-30,IBM,SELL,100
2008-06-03,IBM,BUY,100
2008-06-04,IBM,BUY,100
2008-06-06,IBM,SELL,100
2008-06-09,IBM,BUY,100
2008-06-10,IBM,SELL,100
2008-06-11,IBM,SELL,100
2008-06-12,IBM,BUY,100
2008-06-13,IBM,SELL,100
2008-06-17,IBM,BUY,100
2008-06-18,IBM,SELL,100
2008-06-19,IBM,BUY,100
2008-06-20,IBM,SELL,100
2008-06-23,IBM,BUY,100
2008-06-24,IBM,SELL,100
2008-06-25,IBM,BUY,100
2008-06-26,IBM,SELL,100
2008-06-27,IBM,BUY,100
2008-06-30,IBM,BUY,100
2008-07-08,IBM,SELL,100
2008-07-09,IBM,SELL,100
2008-07-10,IBM,BUY,100
2008-07-11,IBM,BUY,100
2008-07-21,IBM,SELL,100
2008-07-22,IBM,SELL,100
2008-07-28,IBM,BUY,100
2008-07-29,IBM,BUY,100
2008-08-06,IBM,SELL,100
2008-08-07,IBM,SELL,100
2008-08-20,IBM,BUY,100
2008-08-21,IBM,SELL,100
2008-08-25,IBM,BUY,100
2008-08-26,IBM,BUY,100
2008-09-09,IBM,SELL,100
2008-09-10,IBM,SELL,100
2008-09-11,IBM,BUY,100
2008-09-12,IBM,SELL,100
2008-09-17,IBM,BUY,100
2008-09-18,IBM,BUY,100
2008-09-22,IBM,SELL,100
2008-09-23,IBM,SELL,100
2008-10-10,IBM,BUY,100
2008-10-13,IBM,BUY,100
2008-10-15,IBM,SELL,100
2008-10-16,IBM,SELL,100
2008-10-23,IBM,BUY,100
2008-10-24,IBM,BUY,100
2008-10-31,IBM,SELL,100
2008-11-03,IBM,SELL,100
2008-11-13,IBM,BUY,100
2008-11-14,IBM,SELL,100
2008-11-17,IBM,BUY,100
2008-11-18,IBM,BUY,100
2008-11-19,IBM,SELL,100
2008-11-20,IBM,BUY,100
2008-11-28,IBM,SELL,100
2008-12-01,IBM,SELL,100
2008-12-02,IBM,BUY,100
2008-12-03,IBM,BUY,100
2008-12-05,IBM,SELL,100
2008-12-08,IBM,SELL,100
2008-12-10,IBM,BUY,100
2008-12-11,IBM,BUY,100
2008-12-12,IBM,SELL,100
2008-12-15,IBM,BUY,100
2008-12-16,IBM,SELL,100
2008-12-17,IBM,SELL,100
2008-12-22,IBM,BUY,100
2008-12-23,IBM,BUY,100
2009-01-05,IBM,SELL,100
2009-01-06,IBM,SELL,100
2009-01-08,IBM,BUY,100
2009-01-09,IBM,SELL,100
2009-01-12,IBM,BUY,100
2009-01-13,IBM,BUY,100
2009-01-26,IBM,SELL,100
2009-01-27,IBM,BUY,100
2009-02-02,IBM,SELL,100
2009-02-03,IBM,BUY,100
2009-02-09,IBM,SELL,100
2009-02-10,IBM,SELL,100
2009-02-20,IBM,BUY,100
2009-02-23,IBM,BUY,100
2009-02-24,IBM,SELL,100
2009-02-25,IBM,BUY,100
2009-02-27,IBM,SELL,100
2009-03-02,IBM,SELL,100
2009-03-10,IBM,BUY,100
2009-03-11,IBM,SELL,100
2009-03-13,IBM,BUY,100
2009-03-16,IBM,BUY,100
2009-03-25,IBM,SELL,100
2009-03-26,IBM,BUY,100
2009-03-27,IBM,SELL,100
2009-03-30,IBM,BUY,100
2009-04-01,IBM,SELL,100
2009-04-02,IBM,SELL,100
2009-04-07,IBM,BUY,100
2009-04-08,IBM,SELL,100
2009-04-09,IBM,BUY,100
2009-04-13,IBM,BUY,100
2009-04-22,IBM,SELL,100
2009-04-23,IBM,BUY,100
2009-05-01,IBM,SELL,100
2009-05-04,IBM,SELL,100
2009-05-08,IBM,BUY,100
2009-05-11,IBM,SELL,100
2009-05-12,IBM,BUY,100
2009-05-13,IBM,BUY,100
2009-05-18,IBM,SELL,100
2009-05-19,IBM,BUY,100
2009-05-20,IBM,SELL,100
2009-05-21,IBM,BUY,100
2009-06-01,IBM,SELL,100
2009-06-02,IBM,SELL,100
2009-06-03,IBM,BUY,100
2009-06-04,IBM,SELL,100
2009-06-05,IBM,BUY,100
2009-06-08,IBM,BUY,100
2009-06-10,IBM,SELL,100
2009-06-11,IBM,SELL,100
2009-06-12,IBM,BUY,100
2009-06-15,IBM,SELL,100
2009-06-17,IBM,BUY,100
2009-06-18,IBM,SELL,100
2009-06-19,IBM,BUY,100
2009-06-22,IBM,BUY,100
2009-06-23,IBM,SELL,100
2009-06-24,IBM,SELL,100
2009-06-25,IBM,BUY,100
2009-06-26,IBM,SELL,100
2009-06-29,IBM,BUY,100
2009-06-30,IBM,SELL,100
2009-07-06,IBM,BUY,100
2009-07-07,IBM,BUY,100
2009-07-20,IBM,SELL,100
2009-07-21,IBM,BUY,100
2009-07-22,IBM,SELL,100
2009-07-23,IBM,BUY,100
2009-07-27,IBM,SELL,100
2009-07-28,IBM,BUY,100
2009-08-03,IBM,SELL,100
2009-08-04,IBM,SELL,100
2009-08-07,IBM,BUY,100
2009-08-10,IBM,SELL,100
2009-08-12,IBM,BUY,100
2009-08-13,IBM,BUY,100
2009-08-14,IBM,SELL,100
2009-08-17,IBM,SELL,100
2009-08-18,IBM,BUY,100
2009-08-19,IBM,BUY,100
2009-08-20,IBM,SELL,100
2009-08-21,IBM,BUY,100
2009-08-24,IBM,SELL,100
2009-08-25,IBM,SELL,100
2009-08-26,IBM,BUY,100
2009-08-27,IBM,SELL,100
2009-09-01,IBM,BUY,100
2009-09-02,IBM,BUY,100
2009-09-17,IBM,SELL,100
2009-09-18,IBM,SELL,100
2009-09-29,IBM,BUY,100
2009-09-30,IBM,BUY,100
2009-10-12,IBM,SELL,100
2009-10-13,IBM,SELL,100
2009-10-16,IBM,BUY,100
2009-10-19,IBM,BUY,100
2009-10-20,IBM,SELL,100
2009-10-21,IBM,SELL,100
2009-10-22,IBM,BUY,100
2009-10-23,IBM,BUY,100
2009-10-30,IBM,SELL,100
2009-11-02,IBM,BUY,100
2009-11-05,IBM,SELL,100
2009-11-06,IBM,BUY,100
2009-11-10,IBM,SELL,100
2009-11-11,IBM,BUY,100
2009-11-12,IBM,SELL,100
2009-11-13,IBM,BUY,100
2009-11-17,IBM,SELL,100
2009-11-18,IBM,BUY,100
2009-11-19,IBM,SELL,100
2009-11-20,IBM,SELL,100
2009-11-24,IBM,BUY,100
2009-11-25,IBM,BUY,100
2009-12-02,IBM,SELL,100
2009-12-03,IBM,BUY,100
2009-12-10,IBM,SELL,100
2009-12-11,IBM,SELL,100
2009-12-16,IBM,BUY,100
2009-12-17,IBM,BUY,100
2009-12-22,IBM,SELL,100
2009-12-23,IBM,BUY,100
2009-12-28,IBM,SELL,100
2009-12-29,IBM,SELL,100
