Date,Symbol,Order,Shares
2006-03-16,IBM,SELL,100
2006-03-31,IBM,BUY,100
2006-04-13,IBM,BUY,100
2006-04-18,IBM,SELL,100
2006-05-24,IBM,BUY,100
2006-07-03,IBM,SELL,100
2006-07-18,IBM,BUY,100
2006-07-27,IBM,SELL,100
2006-08-21,IBM,SELL,100
2006-09-22,IBM,BUY,100
2006-10-11,IBM,SELL,100
2006-11-27,IBM,BUY,100
2007-01-05,IBM,SELL,100
2007-01-19,IBM,BUY,100
2007-03-05,IBM,BUY,100
2007-03-20,IBM,SELL,100
2007-04-04,IBM,SELL,100
2007-04-13,IBM,BUY,100
2007-05-02,IBM,SELL,100
2007-05-24,IBM,BUY,100
2007-06-08,IBM,BUY,100
2007-06-15,IBM,SELL,100
2007-07-09,IBM,SELL,100
2007-07-31,IBM,BUY,100
2007-09-05,IBM,SELL,100
2007-10-03,IBM,BUY,100
2007-10-17,IBM,SELL,100
2007-10-17,IBM,BUY,100
2007-10-22,IBM,BUY,100
2007-10-31,IBM,SELL,100
2007-11-13,IBM,BUY,100
2007-11-28,IBM,SELL,100
2007-12-07,IBM,SELL,100
2007-12-14,IBM,BUY,100
